mcscore,scscore,processor,frequency,maximumfrequency,cores,threads,tdp,gpu,codename,package
1608,758,Intel Core i3-8130U ,2200 MHz,3400 MHz,2,4,15 W,Intel UHD Graphics 620,Kaby Lake,FCBGA1356
1628,758,Intel Core i5-L16G7,1400 MHz,3000 MHz,5,5,7 W,Intel UHD Graphics,Lakefield,FC-CSP1016
2743,757,Intel Core i7-4700HQ,2400 MHz,3400 MHz,4,8,47 W,Intel HD Graphics 4600,Haswell,FCBGA1364
1626,755,Intel Core i7-4610M,3000 MHz,3700 MHz,2,4,37 W,Intel HD Graphics 4600,Haswell,Socket 947 rPGA
2452,754,Intel Core i5-4430,3000 MHz,3200 MHz,4,4,84 W,Intel HD Graphics 4600,Haswell,FCLGA1150
2751,754,Intel Core i7-4785T,2200 MHz,3200 MHz,4,8,35 W,Intel HD Graphics 4600,Haswell,Socket 1150 LGA
6753,753,Intel Xeon E5-2660 v3,2600 MHz,3300 MHz,10,20,105 W,,Haswell,FCLGA2011-3
1400,752,Intel Pentium G3460,3500 MHz,,2,2,53 W,Intel HD Graphics for 4th Generation Intel Processors,Haswell,Socket 1150 LGA
2895,751,Intel Core i7-3840QM,2800 MHz,3800 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCPGA988
2645,751,Intel Core i7-4700MQ,2400 MHz,3400 MHz,4,8,47 W,Intel HD Graphics 4600,Haswell,FCPGA946
2751,751,AMD Ryzen 7 3780U Microsoft Surface Edition,2300 MHz,4000 MHz,4,8,15 W,Radeon RX Vega 11 ,Picasso,Socket FP5
2386,750,Intel Core i5-3570S,3100 MHz,3800 MHz,4,4,65 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
1780,749,Intel Core i7-6660U,2400 MHz,3400 MHz,2,4,15 W,Intel Iris Graphics 540,Skylake,FCBGA1356
1706,748,Intel Core i5-6267U,2900 MHz,3300 MHz,2,4,28 W,Intel Iris Graphics 550,Skylake,FCBGA1356
1553,748,Intel Core i3-8145U,2100 MHz,3900 MHz,2,4,15 W,Intel UHD Graphics 620,Whiskey Lake,FCBGA1528
2701,747,Intel Xeon E5-1607 v3,3100 MHz,,4,4,140 W,,Haswell,FCLGA2011-3
6138,746,Intel Xeon E5-2687W v2,3400 MHz,4000 MHz,8,16,150 W,,Ivy Bridge,FCLGA2011
7404,746,Intel Xeon E5-2670 v3,2300 MHz,3100 MHz,12,24,120 W,,"Gainestown, Haswell-E/EP, Sandy Bridge-EP/EX","Socket 1366 LGA, Socket 2011 LGA"
3467,745,Intel Xeon E5-2623 v3,3000 MHz,3500 MHz,4,8,105 W,,Haswell-E/EP,Socket 2011 LGA
1652,744,Intel Core i7-4558U,2800 MHz,3300 MHz,2,4,28 W,Intel Iris Pro Graphics 5100,Haswell,FCBGA1168
2447,744,Intel Xeon E3-1225 V2,3200 MHz,3600 MHz,4,4,77 W,,Ivy Bridge,Socket 1155 LGA
2412,744,Intel Core i5-6300HQ,2300 MHz,3200 MHz,4,4,45 W,Intel HD Graphics 530,Skylake,FCBGA1440
2597,740,AMD Ryzen 5 PRO 2500U,2000 MHz,3600 MHz,4,8,15 W,Radeon Vega 8,Raven Ridge,Socket FP5
1602,739,Intel Core i3-4130,3400 MHz,,2,4,54 W,Intel HD Graphics 4400,Haswell,FCLGA1150
4433,738,Intel Xeon E5-1650,3200 MHz,3800 MHz,6,12,130 W,,Sandy Bridge-EP,Socket 2011 LGA
2600,738,AMD Ryzen 7 PRO 3700U,2300 MHz,4000 MHz,4,8,15 W,Radeon Vega 10,Picasso,Socket FP5
2796,736,Intel Xeon E3-1270,3400 MHz,3800 MHz,4,8,80 W,,Sandy Bridge,Socket 1155 LGA
3105,736,Intel Xeon E5-1620,3600 MHz,3800 MHz,4,8,130 W,,Sandy Bridge-EP,Socket 2011 LGA
1448,736,Intel Core i5-8210Y,1600 MHz,3600 MHz,2,4,7 W,Intel UHD Graphics 617,Amber Lake,FCBGA1515
3106,733,Intel Core i7-3820,3600 MHz,3800 MHz,4,8,130 W,,Sandy Bridge E,FCLGA2011
3073,733,Intel Xeon E5-1620 v2,3700 MHz,3900 MHz,4,8,130 W,,Ivy Bridge,FCLGA2011
2259,733,Intel Core i5-4670T,2300 MHz,3300 MHz,4,4,45 W,Intel HD Graphics 4600,Haswell,FCLGA1150
3148,733,Intel Xeon E5-2667 v3,3200 MHz,3600 MHz,8,8,135 W,,"Gainestown, Haswell-E/EP, Ivy Bridge, Sandy Bridge-EP/EX","Socket 1366 LGA, Socket 2011 LGA"
2409,732,Intel Core i5-3470,3200 MHz,3600 MHz,4,4,77 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
2270,730,Intel Core i5-4430S,2700 MHz,3200 MHz,4,4,65 W,Intel HD Graphics 4600,Haswell,FCLGA1150
1615,730,Intel Core i5-4340M,2900 MHz,3600 MHz,2,4,37 W,Intel HD Graphics 4600,Haswell,FCPGA946
1635,729,Intel Core i5-5287U,2900 MHz,3300 MHz,2,4,28 W,Intel Iris Graphics 6100,Broadwell,FCBGA1168
5920,729,AMD EPYC 7551,2000 MHz,2550 MHz,32,64,180 W,,Naples,Socket SP3 (4094)
1714,727,AMD Athlon 200GE,3200 MHz,,2,4,35 W,Radeon Vega 3,Raven Ridge,AM4
3441,727,Intel Xeon Silver 4112,2600 MHz,3000 MHz,4,8,85 W,,Skylake,Socket 3647 LGA
2739,726,Intel Core i7-2600,3400 MHz,3800 MHz,4,8,95 W,Intel HD Graphics 2000,Sandy Bridge,LGA1155
1572,726,Intel Core i7-4578U,3000 MHz,3500 MHz,2,4,28 W,Intel Iris Graphics 5100,Haswell,FCBGA1168
8950,726,Intel Xeon E5-2683 v4,2100 MHz,3000 MHz,16,32,120 W,,Broadwell-E/EP,Socket 2011 LGA
6529,726,AMD EPYC 7501,2000 MHz,3000 MHz,32,64,170 W,,Naples,Socket SP3 (4094)
2656,724,Intel Core i7-4750HQ,2000 MHz,3200 MHz,4,8,47 W,Intel Iris Pro Graphics 5200,Crystal Well,FCBGA1364
2761,721,Intel Core i7-3820QM,2700 MHz,3700 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,"FCBGA1224, FCPGA988"
2599,721,AMD Ryzen 7 3700U,2300 MHz,4000 MHz,4,8,15 W,Radeon RX Vega 10,Picasso,FP5
2504,721,AMD Ryzen 5 PRO 3500U,2100 MHz,3700 MHz,4,8,15 W,Radeon Vega 8,Picasso,Socket FP5
2494,719,Intel Core i5-4570R,2700 MHz,3200 MHz,4,4,65 W,Intel Iris Pro Graphics 5200,Crystal Well,FCBGA1364
1582,719,Intel Core i3-4170T,3200 MHz,,2,4,35 W,Intel HD Graphics 4400,Haswell,Socket 1150 LGA
1641,719,Intel Core i7-6500U,2500 MHz,3100 MHz,2,4,15 W,Intel HD Graphics 520,Skylake,FCBGA1356
1558,718,Intel Core i7-5650U,2200 MHz,3100 MHz,2,4,15 W,Intel HD Graphics 6000,Broadwell,FCBGA1168
1532,718,Intel Core i5-4210H,2900 MHz,3500 MHz,2,4,47 W,Intel HD Graphics 4600,Haswell,FCBGA1364
3941,718,Intel Xeon E5-2620 v3,2400 MHz,3200 MHz,6,12,85 W,,Haswell-E,Socket 2011 LGA
1559,717,Intel Core i5-4200H,2800 MHz,3400 MHz,2,4,47 W,Intel HD Graphics 4600,Haswell,FCBGA1364
2351,716,Intel Core i5-3450,3100 MHz,3500 MHz,4,4,77 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
2292,716,Intel Core i5-3475S,2900 MHz,3600 MHz,4,4,65 W,Intel HD Graphics 4000,Ivy Bridge,FCLGA1155
2564,715,Intel Core i7-4702MQ,2200 MHz,3200 MHz,4,8,37 W,Intel HD Graphics 4600,Haswell,FCPGA946
2553,715,AMD Ryzen 7 PRO 2700U,2200 MHz,3800 MHz,4,8,15 W,Radeon Vega 10,Raven Ridge PRO,BGA (FP5)
2644,714,Intel Core i7-4702HQ,2200 MHz,3200 MHz,4,8,37 W,Intel HD Graphics 4600,Haswell,FCBGA1364
2845,713,Intel Xeon E3-1275 v2,3500 MHz,3900 MHz,4,8,77 W,,Ivy Bridge,Socket 1155 LGA
1603,713,Intel Core i7-5550U,2000 MHz,3000 MHz,2,4,15 W,Intel HD Graphics 6000,Broadwell,FCBGA1168
5016,711,Intel Xeon E5-2630 v3,2400 MHz,3200 MHz,8,16,85 W,,Haswell,Socket 2011 LGA
1310,711,Intel Celeron G4900,3100 MHz,,2,2,54 W,Intel UHD Graphics 610,Coffee Lake,FCLGA1151
5187,710,Intel Xeon E5-2687W,3100 MHz,3800 MHz,8,16,150 W,,Sandy Bridge-EP,Socket 2011 LGA
2257,709,Intel Core i5-3470S,2900 MHz,3600 MHz,4,4,65 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
6864,708,Intel Xeon E5-2687W v3,3100 MHz,3500 MHz,10,20,160 W,,Haswell-E/EP,Socket 2011 LGA
1526,708,Intel Pentium G4560T,2900 MHz,,2,4,35 W,Intel HD Graphics 610,Kaby Lake,FCLGA1151
2486,708,AMD Ryzen 5 3500U,2100 MHz,3700 MHz,4,8,15 W,Radeon Vega 8,Raven Ridge,FP5
1486,708,Intel Core i3-4330T,3000 MHz,,2,4,35 W,Intel HD Graphics 4600,Haswell,FCLGA1150
1486,705,Intel Core i5-4288U,2600 MHz,3100 MHz,2,4,28 W,Intel Iris Pro Graphics 5100,Haswell,FCBGA1168
2376,705,Intel Xeon E3-1220 v2,3100 MHz,3500 MHz,4,4,69 W,,Ivy Bridge,Socket 1155 LGA
2216,704,Intel Core i5-3450S,2800 MHz,3500 MHz,4,4,65 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
3698,704,Intel Xeon E5-2637 v4,3500 MHz,3700 MHz,4,8,135 W,,Broadwell, FCLGA2011-3
2605,703,Intel Xeon E3-1240,3300 MHz,3700 MHz,4,8,80 W,,Sandy Bridge,Socket 1155 LGA
5861,703,Intel Xeon E5-2630 v4,2200 MHz,3100 MHz,10,20,85 W,,Broadwell-E/EP,Socket 2011 LGA
1600,702,Intel Core i5-6360U,2000 MHz,3100 MHz,2,4,15 W,Intel Iris Graphics 540,Skylake,FCBGA1356
7339,702,Intel Xeon Gold 5118,2300 MHz,3200 MHz,12,24,105 W,,Skylake,FCLGA3647
2349,701,Intel Core i5-3550S,3000 MHz,3700 MHz,4,4,65 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
1527,701,Intel Core i5-4310M,2700 MHz,3400 MHz,2,4,37 W,Intel HD Graphics 4600,Haswell,Socket 947 rPGA
10058,701,Intel Xeon E5-2695 v4,2100 MHz,3300 MHz,18,36,120 W,,Broadwell,FCLGA2011-3
2213,700,Intel Core i5-2500,3300 MHz,3700 MHz,4,4,95 W,Intel HD Graphics 2000,Sandy Bridge,LGA1155
2642,700,Intel Xeon E3-1245,3300 MHz,,4,8,95 W,,Sandy Bridge,Socket 1155 LGA
2773,700,Intel Xeon E3-1280,3500 MHz,3900 MHz,4,8,95 W,,Sandy Bridge-EP,Socket 1155 LGA
1627,700,Intel Core i7-6560U,2200 MHz,3200 MHz,2,4,15 W,Intel Iris Graphics 540,Skylake,
2662,700,Intel Xeon E3-1230L v3,1800 MHz,2800 MHz,4,8,25 W,,Haswell,FCLGA1150
1262,697,Intel Pentium G4400T,2900 MHz,,2,2,35 W,Intel HD Graphics 510,Skylake,FCLGA1151
1540,694,Intel Core i5-4278U,2600 MHz,3100 MHz,2,4,28 W,Intel Iris Graphics 5100,Haswell,FCBGA1168
8154,694,Intel Xeon E5-2683 v3,2000 MHz,3000 MHz,14,28,120 W,,Haswell,FCLGA2011-3
2463,693,Intel Core i7-4700EQ,2400 MHz,3400 MHz,4,8,47 W,Intel HD Graphics 4600,Haswell,FCBGA1364
2199,693,Intel Core i5-6400T,2200 MHz,2800 MHz,4,4,35 W,Intel HD Graphics 530,Skylake,Socket 1151 LGA
4458,693,Intel Xeon E5-2643 v2,3500 MHz,3800 MHz,6,12,130 W,,Ivy Bridge EP,FCLGA2011
2665,692,Intel Core i7-3720QM,2600 MHz,3600 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,"FCBGA1224, FCPGA988"
2503,692,AMD Ryzen 5 3580U Microsoft Surface Edition,2100 MHz,3700 MHz,4,8,15 W,Radeon Vega 9,Picasso,Socket FP5
2178,691,Intel Core i5-4590T,2000 MHz,3000 MHz,4,4,35 W,Intel HD Graphics 4600,Haswell,Socket 1150 LGA
5155,690,Intel Xeon E5-2686 v4,2300 MHz,2700 MHz,8,16,145 W,,Broadwell-E/EP,Socket 2011 LGA
1499,688,Intel Core i5-4300M,2600 MHz,3300 MHz,2,4,37 W,Intel HD Graphics 4600,Haswell,FCPGA946
5084,688,Intel Xeon Silver 4110,2100 MHz,3000 MHz,8,16,85 W,,Skylake,FCLGA3647
2132,688,Intel Core i5-2450P,3200 MHz,3500 MHz,4,4,95 W,,Sandy Bridge,LGA1155
2534,686,Intel Core i7-4765T,2000 MHz,3000 MHz,4,8,35 W,Intel HD Graphics 4600,Haswell,FCLGA1150
1483,686,Intel Core i5-4210M,2600 MHz,3200 MHz,2,4,37 W,Intel HD Graphics 4600,Haswell,FCPGA946
1551,685,Intel Core i5-6260U,1800 MHz,2900 MHz,2,4,15 W,Intel Iris Graphics 540,Skylake,FCBGA1356
2845,685,Intel Xeon E3-1290,3600 MHz,4000 MHz,4,8,95 W,,Sandy Bridge,FCLGA1155
6520,684,Intel Xeon E5-2690 v2,3000 MHz,3600 MHz,10,20,130 W,,Ivy Bridge EP,FCLGA2011
1269,684,Intel Celeron G3930,2900 MHz,,2,2,51 W,Intel HD Graphics 610,Kaby Lake,FCLGA1151
6057,683,Intel Xeon E5-2650 v3,2300 MHz,3000 MHz,10,20,105 W,,Haswell,FCLGA2011-3
1473,683,Intel Core i5-5257U,2700 MHz,3100 MHz,2,4,28 W,Intel Iris Graphics 6100,Broadwell,FCBGA1168
1513,683,Intel Core i3-4150T ,3000 MHz,,2,4,35 W,Intel HD Graphics 4400,Haswell,FCLGA1150
2632,682,Intel Core i7-3770T,2500 MHz,3700 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCLGA1155
1499,682,Intel Core i7-5600U,2600 MHz,3200 MHz,2,4,15 W,Intel HD Graphics 5500,Broadwell,FCBGA1168
8013,682,Intel Xeon E5-2660 v4,2000 MHz,3200 MHz,14,28,105 W,,Broadwell,FCLGA2011-3
2367,681,AMD Ryzen 5 2500U,2000 MHz,3600 MHz,4,8,15 W,Radeon Vega 8 Graphics,Raven Ridge,FP5
1528,681,Intel Core i3-4160T,3100 MHz,,2,4,35 W,Intel HD Graphics 4400,Haswell,FCLGA1150
2650,681,Intel Xeon E3-1235,3200 MHz,3600 MHz,4,8,95 W,,Sandy Bridge,Socket 1155 LGA
4655,680,Intel Xeon E5-2630L v3,1800 MHz,2900 MHz,8,16,55 W,,Haswell,FCLGA2011-3
2228,678,Intel Core i5-3350P,3100 MHz,3300 MHz,4,4,69 W,,Ivy Bridge,FCLGA1155
2573,678,Intel Core i7-3740QM,2700 MHz,3700 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCPGA988
5221,677,Intel Xeon E5-2690,2900 MHz,3800 MHz,8,16,135 W,,Sandy Bridge-EP,Socket 2011 LGA
2229,677,Intel Core i5-3340,3100 MHz,3300 MHz,4,4,77 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
2405,677,Intel Core i7-2960XM,2700 MHz,3700 MHz,4,8,55 W,Intel HD Graphics 3000,Sandy Bridge,Socket 988B rPGA
3718,676,Intel Core i7-990X,3470 MHz,3730 MHz,6,12,130 W,,Gulftown,FCLGA1366
2454,675,Intel Core i7-4712HQ,2300 MHz,3300 MHz,4,8,37 W,Intel HD Graphics 4600,Haswell,FCBGA1364
1265,675,Intel Celeron G3900,2800 MHz,,2,2,51 W,Intel HD Graphics 510,Skylake,Socket 1151 LGA
2924,674,Intel Xeon,2200 MHz,,4,8,,,Broadwell-E/EP,Socket 2011 LGA
1231,674,Intel Pentium G3260,3300 MHz,,2,2,53 W,Intel HD Graphics for 4th Generation Intel Processors,Haswell,Socket 1150 LGA
2562,673,Intel Xeon E3-1230,3200 MHz,3600 MHz,4,8,80 W,,Sandy Bridge,Socket 1155 LGA
1597,671,Intel Core i3-6100H,2700 MHz,,2,4,35 W,Intel HD Graphics 530,Skylake,FCBGA1440
1246,669,Intel Pentium G3420,3200 MHz,,2,2,53 W,Intel HD Graphics for 4th Generation Intel Processors,Haswell,FCLGA1150
2317,664,Intel Core i7-2600S,2800 MHz,3800 MHz,4,8,65 W,Intel HD Graphics 2000,Sandy Bridge,LGA1155
1235,663,Intel Pentium G3250,3200 MHz,,2,2,53 W,Intel HD Graphics for 4th Generation Intel Processors,Haswell,Socket 1150 LGA
2180,663,Intel Core i5-2380P,3100 MHz,3400 MHz,4,4,95 W,,Sandy Bridge,LGA1155
6749,659,AMD EPYC 7551P,2000 MHz,3000 MHz,32,64,180 W,,Naples,Socket SP3 (4094)
2955,658,Intel Xeon E5-2643,3300 MHz,3500 MHz,4,8,130 W,,Sandy Bridge-EP,Socket 2011 LGA
2108,655,Intel Core i5-2400,3100 MHz,,4,4,95 W,Intel HD Graphics 2000,Sandy Bridge,LGA1155
2593,655,Intel Core i7-3610QE,2300 MHz,3300 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCPGA988
3591,654,Intel Xeon W3690,3470 MHz,3730 MHz,6,12,130 W,,Gulftown,Socket 1366 LGA
7030,654,Intel Xeon E5-2697 v2,2700 MHz,3500 MHz,12,24,130 W,,Ivy Bridge,FCLGA2011
1431,654,Intel Core i5-5350U,1800 MHz,2900 MHz,2,4,15 W,Intel HD Graphics 6000,Broadwell,Socket 1168 BGA
2140,653,Intel Core i5-3330,3000 MHz,3200 MHz,4,4,77 W,,Ivy Bridge,FCLGA1155
2069,653,Intel Core i5-3340S,2800 MHz,3300 MHz,4,4,65 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
3169,653,Intel Xeon E5-2637 v2,3500 MHz,3800 MHz,4,8,130 W,,Ivy Bridge EP,FCLGA2011
2077,653,AMD Ryzen 3 2300U,2000 MHz,3400 MHz,4,4,15 W,Radeon Vega 6 Graphics,Raven Ridge,FP5
7294,653,Intel Xeon E5-2696 v2,2500 MHz,3300 MHz,12,24,,,Ivy Bridge EP,FCLGA2011
2396,652,AMD Ryzen 7 2700U,2200 MHz,3800 MHz,4,8,15 W,Radeon RX Vega 10 Graphics,Raven Ridge,FP5
5745,652,Intel Xeon Silver 4114,2200 MHz,3000 MHz,10,20,85 W,,Skylake,FCLGA3647
7032,652,Intel Xeon Silver 4116,2100 MHz,3000 MHz,12,24,85 W,,Skylake,FCLGA3647
2266,651,Intel Core i7-2920XM,2500 MHz,3500 MHz,4,8,55 W,Intel HD Graphics 3000,Sandy Bridge,Socket 988B rPGA
2162,650,Intel Xeon E3-1220,3100 MHz,3400 MHz,4,4,80 W,,Sandy Bridge,Socket 1155 LGA
6085,649,Intel Xeon E5-2680 v2,2800 MHz,3600 MHz,10,20,115 W,,Ivy Bridge EP,FCLGA2011
1455,649,Intel Core i3-7130U,2700 MHz,,2,4,15 W,Intel HD Graphics 620,Kaby Lake,FCGBA1356
2261,648,Intel Core i7-2860QM,2500 MHz,3600 MHz,4,8,45 W,Intel HD Graphics 3000,Sandy Bridge,"FCBGA1224, FCPGA988"
1212,647,Intel Celeron G3900T,2600 MHz,,2,2,35 W,Intel HD Graphics 510,Skylake,
2499,646,Intel Core i7-3630QM,2400 MHz,3400 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCPGA988
1442,646,Intel Core i3-4130T,2900 MHz,,2,4,35 W,Intel HD Graphics 4400,Haswell,FCLGA1150
2104,646,Intel Core i5-3335S,2700 MHz,2800 MHz,4,4,65 W,Intel HD Graphics 4000,Ivy Bridge,
3471,645,Intel Core i7-980X,3330 MHz,3600 MHz,6,12,130 W,,Gulftown,FCLGA1366
2539,645,Intel Core i7-3615QM,2300 MHz,3300 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCBGA1224
1390,645,Intel Core i7-5500U,2400 MHz,3000 MHz,2,4,15 W,Intel HD Graphics 5500,Broadwell,FCBGA1168
3251,645,Intel Xeon E5-2623 v4,2600 MHz,3200 MHz,4,8,85 W,,Broadwell,FCLGA2011-3
2132,645,Intel Core i5-8265U,1600 MHz,3900 MHz,4,8,15 W,Intel UHD Graphics 620,Whiskey Lake,FCBGA1528
1417,644,AMD Ryzen 3 3250U,2600 MHz,3500 MHz,2,4,15 W,AMD Radeon Vega 3,Picasso,Socket FP5
1427,643,Intel Core i7-3520M,2900 MHz,3600 MHz,2,4,35 W,Intel HD Graphics 4000,Ivy Bridge,"FCBGA1023, FCPGA988"
1394,643,AMD Ryzen 3 3200U,2600 MHz,3500 MHz,2,4,15 W,Radeon Vega 3,Picasso,FP5
3141,642,AMD FX-9590,4700 MHz,5000 MHz,8,8,220 W,,Vishera,Socket AM3+
2125,640,Intel Xeon E3-1225,3100 MHz,3400 MHz,4,4,95 W,,Sandy Bridge,Socket 1155 LGA
1337,640,Intel Core i7-4510U,2000 MHz,3100 MHz,2,4,15 W,Intel HD Graphics 4400,Haswell,FCBGA1168
4783,639,Intel Xeon E5-2680,2700 MHz,3500 MHz,8,16,130 W,,Sandy Bridge-EP,Socket 2011 LGA
4692,639,Intel Xeon E5-2620 v4,2100 MHz,3000 MHz,8,16,85 W,,"Broadwell-E/EP, Haswell-E/EP","Socket 2011 LGA, Socket 775 LGA"
1441,638,Intel Core i7-3540M,3000 MHz,3700 MHz,2,4,35 W,Intel HD Graphics 4000,Ivy Bridge,"FCBGA1023, FCPGA988"
1428,638,Intel Core i5-3380M,2900 MHz,3600 MHz,2,4,35 W,Intel HD Graphics 4000,Ivy Bridge,"FCBGA1023, FCPGA988"
2419,638,Intel Core i5-8365U,1600 MHz,4100 MHz,4,8,15 W,Intel UHD Graphics 620,Whiskey Lake,Socket 1356 FCBGA
3603,637,Intel Xeon X5690,3470 MHz,3730 MHz,6,12,130 W,,Westmere-EP,Socket 1366 LGA
2063,636,Intel Core i5-3330S,2700 MHz,3200 MHz,4,4,65 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
1306,634,Intel Core i7-4600U,2100 MHz,3300 MHz,2,4,15 W,Intel HD Graphics 4400,Haswell,FCBGA1168
2279,633,Intel Xeon E5-1607 v2,3000 MHz,,4,4,130 W,,Ivy Bridge EP,FCLGA2011
6328,633,Intel Xeon E5-2640 v4,2400 MHz,3400 MHz,10,20,90 W,,"Broadwell-E/EP, Dempsey, Sandy Bridge-EP/EX","Socket 2011 LGA, Socket 771 LGA"
2037,632,Intel Core i5-2320,3000 MHz,3300 MHz,4,4,95 W,Intel HD Graphics 2000,Sandy Bridge,LGA1155
1238,632,Intel Core i7-4650U,1700 MHz,3300 MHz,2,4,15 W,Intel HD Graphics 5000,Haswell,FCBGA1168
1388,632,Intel Core i5-4200M,2500 MHz,3100 MHz,2,4,37 W,Intel HD Graphics 4600,Haswell,FCPGA946
3660,632,Intel Xeon E5-2667,2900 MHz,3500 MHz,6,12,130 W,,Sandy Bridge-EP,"Socket 1366 LGA, Socket 2011 LGA"
5736,632,Intel Xeon E5-2670 v2,2500 MHz,3300 MHz,10,20,115 W,,Ivy Bridge EP,FCLGA2011
1388,631,Intel Core i5-3470T,2900 MHz,3600 MHz,2,4,35 W,,Ivy Bridge,FCLGA1155
2106,631,Intel Core i5-3570T,2300 MHz,3300 MHz,4,4,45 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
2623,631,Intel Xeon X5677,3470 MHz,3730 MHz,4,8,130 W,,Westmere-EP,Socket 1366 LGA
4302,631,Intel Xeon Silver 4108,1800 MHz,3000 MHz,8,16,85 W,,Skylake,FCLGA3647
1382,630,Intel Core i5-3360M,2800 MHz,3500 MHz,2,4,35 W,,Ivy Bridge,"FCBGA1023, FCPGA988"
4738,630,AMD EPYC 7351P,2400 MHz,2900 MHz,16,32,170 W,,Naples,Socket SP3 (4094)
1428,629,Intel Core i5-4258U,2400 MHz,2900 MHz,2,4,28 W,Intel Iris Pro Graphics 5100,Haswell,FCBGA1168
3431,627,Intel Xeon W3680,3330 MHz,3600 MHz,6,12,130 W,,Westmere-EP,Socket 1366 LGA
1139,626,Intel Pentium G3240,3100 MHz,,2,2,53 W,Intel HD Graphics for 4th Generation Intel Processors,Haswell,Socket 1150 LGA
5583,626,AMD EPYC 7401P,2000 MHz,3000 MHz,24,48,170 W,,Naples,Socket SP3 (4094)
2406,625,Intel Core i7-3635QM,2400 MHz,3400 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,Socket 988B rPGA
1392,624,Intel Core i3-3250,3500 MHz,,2,4,55 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
2304,624,Intel Xeon E5-2676 v3,2400 MHz,,2,4,120 W,,Haswell-E/EP,Socket 2011 LGA
1381,622,Intel Core i3-3240,3400 MHz,,2,4,55 W,Intel HD Graphics 2500,Ivy Bridge,FCLGA1155
1136,622,Intel Pentium G3220,3000 MHz,,2,2,53 W,Intel HD Graphics for 4th Generation Intel Processors,Haswell,FCLGA1150
2447,621,Intel Core i7-3610QM,2300 MHz,3300 MHz,4,8,45 W,Intel HD Graphics 4000,Ivy Bridge,FCPGA988
2127,620,Intel Core i7-2760QM,2400 MHz,3500 MHz,4,8,45 W,Intel HD Graphics 3000,Sandy Bridge,"FCBGA1224, FCPGA988"
1984,619,Intel Core i5-2310,2900 MHz,3200 MHz,4,4,95 W,Intel HD Graphics 2000,Sandy Bridge,LGA1155
1885,619,Intel Core i5-4460T,1900 MHz,2700 MHz,4,4,35 W,Intel HD Graphics 4600,Haswell,Socket 1150 LGA
1377,616,Intel Core i3-3225,3300 MHz,,2,4,55 W,Intel HD Graphics 4000,Ivy Bridge,FCLGA1155
1278,616,Intel Core i5-2390T,2700 MHz,3500 MHz,2,4,35 W,Intel HD Graphics 2000,Sandy Bridge,FCLGA1155
3363,615,Intel Xeon X5680,3330 MHz,3600 MHz,6,12,130 W,,Westmere-EP,Socket 1366 LGA
4685,615,Intel Xeon E5-2670,2600 MHz,3300 MHz,8,16,115 W,,Sandy Bridge-EP/EX,Socket 2011 LGA
2448,614,Intel Xeon W3580,3330 MHz,3600 MHz,4,8,130 W,,Bloomfield,Socket 1366 LGA
1387,613,AMD Ryzen 3 2200U,2500 MHz,3400 MHz,2,4,15 W,Radeon Vega 3 Graphics,Raven Ridge,FP5
1385,612,Intel Core i3-3245,3400 MHz,,2,4,55 W,Intel HD Graphics 4000,Ivy Bridge,FCLGA1155
2317,610,Intel Core i7-3632QM,2200 MHz,3200 MHz,4,8,35 W,Intel HD Graphics 4000,Ivy Bridge,FCPGA988
4836,610,Intel Xeon E5-2650 v2,2600 MHz,3400 MHz,8,16,95 W,,Ivy Bridge EP,FCLGA2011
1268,609,Intel Core i7-4500U,1800 MHz,3000 MHz,2,4,15 W,Intel HD Graphics 4400,Haswell,FCBGA1168
1078,605,Intel Pentium G2130,3200 MHz,,2,2,55 W,Intel HD Graphics for 3rd Generation Intel Processors,Ivy Bridge,FCLGA1155
2178,604,Intel Core i7-2820QM,2300 MHz,3400 MHz,4,8,45 W,Intel HD Graphics 3000,Sandy Bridge,FCPGA988
1132,603,Intel Xeon E3-1220L,2200 MHz,3400 MHz,2,4,20 W,,Sandy Bridge,FCLGA1155
2354,602,Intel Xeon W5590,3330 MHz,3600 MHz,4,8,130 W,,,
2301,602,Intel Core i7-3612QM,2100 MHz,3100 MHz,4,8,35 W,,Ivy Bridge,FCPGA988
